,sentence,difficulty
38,"- Dessine-moi un mouton...

J'ai sauté sur mes pieds comme si j'avais été frappé par la foudre.",A2
39,J'ai bien frotté mes yeux.,A2
40,J'ai bien regardé.,A2
41,Et j'ai vu un petit bonhomme tout à fait extraordinaire qui me considérait gravement.,A2
42,"Voilà le meilleur portrait que, plus tard, j'ai réussi à faire de lui.",A2
43,"Mais mon dessin, bien sûr, est beaucoup moins ravissant que le modèle.",B1
44,Ce n'est pas ma faute.,A2
45,"J'avais été découragé dans ma carrière de peintre par les grandes personnes, à l'âge de six ans, et je n'avais rien appris à dessiner, sauf les boas fermés et les boas ouverts.",B1
46,je regardai donc cette apparition avec des yeux tout ronds d'étonnement.,B2
47,N'oubliez pas que je me trouvais à mille milles de toute région habitée.,B1
48,"Or mon petit bonhomme ne me semblait ni égaré, ni mort de fatigue, ni mort de faim, ni mort de soif, ni mort de peur.",B2
49,"Il n'avait en rien l'apparence d'un enfant perdu au milieu du désert, à mille milles de toute région habitée.",B1
50,"Quand je réussis enfin à parler, je lui dis :

- Mais... qu'est-ce que tu fais là ?",A2
51,"Et il me répéta alors, tout doucement, comme une chose très sérieuse :

- S'il vous plaît... dessine-moi un mouton...

Quand le mystère est trop impressionnant, on n'ose pas désobéir.",B1
52,"Aussi absurde que cela me semblât à mille milles de tous les endroits habités et en danger de mort, je sortis de ma poche une feuille de papier et un stylographe.",C2
53,"Mais je me rappelai alors que j'avais surtout étudié la géographie, l'histoire, le calcul et la grammaire et je dis au petit bonhomme (avec un peu de mauvaise humeur) que je ne savais pas dessiner.",A2
54,"Il me répondit :

- ça ne fait rien.",A2
55,Dessine-moi un mouton.,A1
56,"Comme je n'avais jamais dessiné un mouton je refis, pour lui, l'un des deux seuls dessins dont j'étais capable.",B1
57,Celui du boa fermé.,B2
58,"Et je fus stupéfait d'entendre le petit bonhomme me répondre :

- Non !",B2
59,Non 1 je ne veux pas d'un éléphant dans un boa.,A2
60,"Un boa c'est très dangereux, et un éléphant c'est très encombrant.",A2
61,Chez moi c'est tout petit.,A1
62,J'ai besoin d'un mouton.,A1
63,Dessine-moi un mouton.,A1
64,Alors j'ai dessiné.,A2
65,"Il regarda attentivement, puis

- Non!",B1
66,Celui-là est déjà très malade.,A2
67,Fais-en un autre.,A2
68,"Je dessinai :

Mon ami sourit gentiment, avec indulgence :

- Tu vois bien... ce n'est pas un mouton, c'est un bélier.",B1
69,"Il a des cornes...

Je refis donc encore mon dessin :

Mais il fut refusé, comme les précédents :

- Celui-là est trop vieux.",B1
70,je veux un mouton qui vive longtemps.,A2
71,"Alors, faute de patience, comme j'avais hâte de commencer le démontage de mon moteur, je griffonnai ce dessin-ci.",B1
72,"Et je lançai :

- ça c'est la caisse.",A2
73,Le mouton que tu veux est dedans.,A2
74,"Mais je fus bien surpris de voir s'illuminer le visage de mon jeune juge :

- C'est tout à fait comme ça que je le

Voulais !",B1
75,Crois-tu qu'il faille beaucoup d'herbe à ce mouton ?,B1
76,- Pourquoi ?,A2
77,"- Parce que chez moi c'est tout petit...

- Ça suffira sûrement.",A2
78,je t'ai donné un tout petit mouton.,A2
79,"Il pencha la tête vers le dessin

- Pas si petit que ça... Tiens Il s'est endormi...",A2
80,Et c'est ainsi que je fis la connaissance du petit prince.,A2
81,"Le petit prince, qui me posait beaucoup de questions, ne semblait jamais entendre les miennes.",A2
82,"Ce sont des mots prononcés par hasard qui, peu à peu, m'ont tout révélé.",B1
83,"Ainsi, quand il aperçut pour la première fois mon avion (je ne dessinerai pas mon avion, c'est un dessin beaucoup trop compliqué pour moi) il me demanda :

- Qu'est-ce que c'est que cette chose-là ?",A2
84,- Ce n'est pas une chose.,A2
85,Ça vole.,A1
86,C'est un avion.,A1
87,C'est mon avion.,A1
88,Et j'étais fier de lui apprendre que je volais.,A2
89,"Alors il s'écria

- Comment !",B1
90,Tu es tombé du ciel ?,A2
91,"- Oui, fis-je modestement.",C1
92,- Ah 1 ça c'est drôle...,A2
93,Et le petit prince eut un très joli éclat de rire qui m'irrita beaucoup.,C1
94,Je désire que l'on prenne mes malheurs au sérieux.,B1
95,"Puis il ajouta :

- Alors, toi aussi tu viens du ciel 1 De quelle planète es-tu ?",B1
96,"J'entrevis aussitôt une lueur, dans le mystère de sa présence, et j'interrogeai brusquement :

- Tu viens donc d'une autre planète ?",B2
97,Mais il ne me répondit pas.,A2
98,"Il hochait la tête doucement tout en regardant mon avion :

- C'est vrai que, là-dessus, tu ne peux pas venir de bien loin...",A2
99,Et il s'enfonça dans une rêverie qui dura longtemps.,B2
100,"Puis, sortant mon mouton de sa poche, il se plongea dans la contemplation de son trésor.",B1
101,"Vous imaginez combien j'avais pu être intrigué par cette demi confidence sur""les autres planètes"".",B2
102,"Je m'efforçai donc d'en savoir plus long :

- D'où viens-tu, mon petit bonhomme ?",B1
103,"Où est-ce""chez toi""?",A1
104,Où veux-tu emporter mon mouton ?,A2
105,"Il me répondit après un silence méditatif :

- Ce qui est bien, avec la caisse que tu m'as donnée, c'est que, la nuit, ça lui servira de maison.",B1
106,- Bien sûr.,A2
107,"Et si tu es gentil, je te donnerai aussi une corde pour l'attacher pendant le jour.",A2
108,Et un piquet.,A2
109,"La proposition parut choquer le petit prince

- L'attacher ?",B2
110,Quelle drôle d'idée !,A2
111,"- Mais si tu ne l'attaches pas, il ira n'importe où, et il se perdra...",A2
112,"Et mon ami eut un nouvel éclat de rire
- Mais où veux-tu qu'il aille ?",B1
113,- N'importe où.,A1
114,Ça ne pouvait pas m'étonner beaucoup.,A2
115,"Je savais bien qu'en dehors des grosses planètes comme la Terre, Jupiter, Mars, Vénus, auxquelles on a donné des noms, il y en a des centaines d'autres qui 	sont quelquefois si petites qu'on a beaucoup de mal à les apercevoir au télescope.",B1
116,"Quand un astronome découvre l'une d'elles, il lui donne pour nom un numéro.",B1
117,"Il l'appelle par exemple :""l'astéroïde 3251"".",B1
118,J'ai de sérieuses raisons de croire que la planète d'où venait le petit prince est l'astéroïde B 612.,B1
119,"Cet astéroïde n'a été aperçu qu'une fois au télescope, en 1909 par un astronome turc.",B2
120,Il avait fait alors une grande démonstration de sa découverte à un Congrès International d'Astronomie.,B2
121,Mais personne ne l'avait cru à cause de son costume.,A2
122,Les grandes personnes sont comme ça.,A2
123,"Heureusement pour la réputation de l'astéroïde B 612 un dictateur turc imposa à son peuple, sous peine de mort, de s'habiller à l'européenne.",B2
124,L'astronome refit sa démonstration en 1920 dans un habit très élégant.,C1
125,Et cette fois-ci tout le monde fut de son avis.,B1
126,"Si je vous ai raconté ces détails sur l'astéroïde B 612 et si je vous ai confié son numéro, c'est à cause des grandes personnes.",B1
127,Les grandes personnes aiment les chiffres.,A2
128,"Quand vous leur parlez d'un nouvel ami, elles ne vous questionnent jamais sur l'essentiel.",B1
129,"Elles ne vous disent jamais:""Quel est le son de sa voix ?",A2
130,Quels sont les jeux qu'il préfère ?,A2
131,Est-ce qu'il collectionne les papillons ?,A2
132,"""Elles vous demandent:""Quel âge a-t-il ?",A2
133,Combien a-t-il de frères ?,A2
134,Combien pèse-t-il ?,A1
135,Combien gagne son père ?,A1
136,"""Alors seulement elles croient le connaître.",B1
137,"Si vous dites aux grandes personnes :""J'ai vu une belle maison en briques roses, avec des géraniums aux fenêtres et des colombes sur le toit...""Elles ne parviennent pas à s'imaginer cette maison.",B1
138,"Il faut leur dire :""J'ai vu une maison de cent mille francs.",A2
139,"""Alors elles s'écrient :""Comme c'est joli !""",A2
140,"Ainsi, si vous leur dites :""La preuve que le petit prince a existé c'est qu'il était ravissant, qu'il riait, et qu'il voulait un mouton.",A2
141,"Quand on veut un mouton, c'est la preuve qu'on existe"", elles hausseront les épaules et vous traiteront d'enfant!",B1
142,"Mais si vous leur dites :""La planète d'où il venait est l'astéroïde B 612"", alors elles seront convaincues, et elles vous laisseront tranquille avec leurs questions.",B1
143,Elles sont comme ça.,A1
144,Il ne faut pas leur en vouloir.,A2
145,Les enfants doivent être très indulgents envers les grandes personnes.,A2
146,"Mais, bien sûr, nous qui comprenons la vie, nous nous moquons bien des numéros !",B1
147,J'aurais aimé commencer cette histoire à la façon des contes de fées.,B1
148,"J'aurais aimé dire :

""Il était une fois un petit prince qui habitait une planète à peine plus grande que lui, et qui avait besoin d'un ami...""Pour ceux qui comprennent la vie, ça aurait eu l'air beaucoup plus vrai.",A2
149,Car je n'aime pas qu'on lise mon livre à la légère.,A2
150,J'éprouve tant de chagrin à raconter ces souvenirs.,B2
151,Il y a six ans déjà que mon ami s'en est allé avec son mouton.,A2
152,"Si j'essaie ici de le décrire, c'est afin de ne pas l'oublier.",A2
153,C'est triste d'oublier un ami.,A2
154,Tout le monde n'a pas eu un ami.,A2
155,Et je puis devenir comme les grandes personnes qui ne s'intéressent plus qu'aux chiffres.,A2
156,C'est donc pour ça encore que j'ai acheté une boîte de couleurs et des crayons.,A2
157,"C'est dur de se remettre au dessin, à mon âge, quand on n'a jamais fait d'autres tentatives que celle d'un boa fermé et celle d'un boa ouvert, à l'âge de six ans !",B1
158,"J'essaierai, bien sûr, de faire des portraits le plus ressemblants possible.",B1
159,Mais je ne suis pas tout à fait certain de réussir.,B1
160,"Un dessin va, et l'autre ne ressemble plus.",A2
161,Je me trompe un peu aussi sur la taille.,A2
162,Ici le petit prince est trop grand.,A1
163,Là il est trop petit.,A1
164,J'hésite aussi sur la couleur de son costume.,A2
165,"Alors je tâtonne comme ci et comme ça, tant bien que mal.",B1
166,Je me tromperai enfin sur certains détails plus importants.,B2
167,"Mais ça, il faudra me le pardonner.",A2
168,Mon ami ne donnait jamais d'explications.,A2
169,Il me croyait peut-être semblable à lui.,A2
170,"Mais moi, malheureusement, je ne sais pas voir les moutons à travers les caisses.",A2
171,Je suis peut-être un peu comme les grandes personnes.,A1
172,J'ai dû vieillir.,A2
173,"Ça venait tout doucement, au hasard des réflexions.",B1
174,"C'est ainsi que, le troisième jour, je connus le drame des baobabs.",B1
175,"Cette fois-ci encore ce fut grâce au mouton, car brusquement le petit prince m'interrogea, comme pris d'un doute grave :

- C'est bien vrai, n'est-ce pas, que les moutons mangent les arbustes ?",B2
176,- Oui.,A1
177,C'est vrai.,A1
178,- Ah !,A1
179,Je suis content.,A1
180,Je ne compris pas pourquoi il était si important que les moutons mangeassent les arbustes.,B1
181,"Mais le petit prince ajouta :

- Par conséquent ils mangent aussi les baobabs ?",B1
182,"Je fis remarquer au petit prince que les baobabs ne sont pas des arbustes, mais des arbres grands comme des églises et que, si même il emportait avec lui tout un troupeau d'éléphants, ce troupeau ne viendrait pas à bout d'un seul baobab.",B1
183,"L'idée du troupeau d'éléphants fit rire le petit prince

- Il faudrait les mettre les uns sur les autres...

Mais il remarqua avec sagesse :

- Les baobabs, avant de grandir, ça commence par être petit.",B1
184,- C'est exact !,A2
185,Mais pourquoi veux-tu que tes moutons mangent les petits baobabs ?,A2
186,"Il me répondit:""Ben!",B1
187,Voyons!,A1
188,"""Comme s'il s'agissait là d'une évidence.",B1
189,Et il me fallut un grand effort d'intelligence pour comprendre à moi seul ce problème.,B2
190,"Et en effet, sur la planète du petit prince, il y avait comme sur toutes les planètes, de bonnes herbes et de mauvaises herbes.",A2
191,Par conséquent de bonnes graines de bonnes herbes et de mauvaises graines de mauvaises herbes.,B2
192,Mais les graines sont invisibles.,B2
193,"Elles dorment dans le secret de la terre jusqu'à ce qu'il prenne fantaisie à l'une d'elles de se réveiller... Alors elle s'étire, et pousse d'abord timidement vers le soleil une ravissante petite brindille inoffensive.",C2
194,"S'il s'agit d'une brindille de radis ou de rosier, on peut la laisser pousser comme elle veut.",B1
195,"Mais s'il s'agit d'une mauvaise plante, il faut arracher la plante aussitôt, dès qu'on a su la reconnaître.",B1
196,Or il y avait des graines terribles sur la planète du petit prince... c'étaient les graines de baobabs.,A2
197,Le sol de la planète en était infesté.,B1
198,"Or un baobab, si l'on s'y prend trop tard, on ne peut jamais plus s'en débarrasser.",B1
199,Il encombre toute la planète.,B1
200,Il la perfore de ses racines.,B1
201,"Et si la planète est trop petite, et si les baobabs sont trop nombreux, ils la font éclater.",A2
202,"""C'est une question de discipline, me disait plus tard le petit prince.",B1
203,"Quand on a terminé sa toilette du matin, il faut faire soigneusement la toilette de la planète.",A2
204,Il faut s'astreindre régulièrement à arracher les baobabs dès qu'on les distingue d'avec les rosiers auxquels ils ressemblent beaucoup quand ils sont très jeunes.,B2
205,"C'est un travail très ennuyeux, mais très facile.""",A2
206,"Et un jour il me conseilla de m'appliquer à réussir un beau dessin, pour bien faire entrer ça dans la tête des enfants de chez moi.",A2
207,"""S'ils voyagent un jour, me disait-il, ça pourra leur servir.",B1
208,Il est quelquefois sans inconvénient de remettre à plus tard son travail.,B1
209,"Mais, s'il s'agit des baobabs, c'est toujours une catastrophe.",B1
210,"J'ai connu une planète, habitée par un paresseux.",A2
211,"Il avait négligé trois arbustes...""

Et, sur les indications du petit prince, j'ai dessiné cette planète-là.",B1
212,Je n'aime guère prendre le ton d'un moraliste.,A2
213,"Mais le danger des baobabs est si peu connu, et les risques courus par celui qui s'égarerait dans un astéroïde sont si considérables, que, pour une fois, je fais exception à ma réserve.",C1
214,"Je dis:""Enfants 1 Faites attention aux baobabs 1""C'est pour avertir mes amis d'un danger qu'ils frôlaient depuis longtemps, comme moi-même, sans le connaître, que j'ai tant travaillé ce dessin-là.",C1
215,La leçon que je donnais en valait la peine.,A2
216,"Vous vous demanderez peut-être : Pourquoi n'y a-t-il pas, dans ce livre, d'autres dessins aussi grandioses que le dessin des baobabs ?",B1
217,La réponse est bien simple : J'ai essayé mais je n'ai pas pu réussir.,A2
218,Quand j'ai dessiné les baobabs j'ai été animé par le sentiment de l'urgence.,B1
219,"petit prince, j'ai compris, peu à peu, ainsi, ta petite vie mélancolique.",B2
220,Tu n'avais eu longtemps pour distraction que la douceur des couchers de soleil.,B2
221,"J'ai appris ce détail nouveau, le quatrième jour au matin, quand tu m'a dit :

J'aime bien les couchers de soleil.",A2
222,"Allons voir un coucher de soleil...

- Mais il faut attendre...

- Attendre quoi ?",A2
223,- Attendre que le soleil se couche.,A2
224,"Tu as eu J'air très surpris d'abord, et puis tu as ri de toi-même.",A2
225,"Et tu m'as dit :

- Je me crois toujours chez moi

En effet.",A2
226,"Quand il est midi aux États-Unis, le soleil, tout le monde le sait, se couche sur la France.",A2
227,Il suffirait de pouvoir aller en France en une minute pour assister au coucher de soleil.,B1
228,Malheureusement la France est bien trop éloignée.,A2
229,"Mais, sur ta si petite planète, il te suffisait de tirer ta chaise de quelques pas.",B1
230,"Et tu regardais le crépuscule chaque fois que tu le désirais...

- Un jour, j'ai vu le soleil se coucher quarante-trois fois !",B1
231,"Et un peu plus tard tu ajoutais

Tu sais... quand on est tellement triste on aime les couchers de soleil...

- Le jour des quarante-trois fois tu étais donc tellement triste ?",A2
232,Mais le petit prince ne répondit pas.,A2
233,"Il me demanda avec brusquerie, sans préambule, comme le fruit d'un problème longtemps médité en silence :

- Un mouton, s'il mange les arbustes, il mange aussi les fleurs ?",C2
234,- Un mouton mange tout ce qu'il rencontre.,A2
235,- Même les fleurs qui ont des épines ?,A2
236,- Oui.,A1
237,Même les fleurs qui ont des épines.,B1
238,"- Alors les épines, à quoi servent-elles ?",A2
239,Je ne le savais pas.,A1
240,J'étais alors très occupé à essayer de dévisser un boulon trop serré de mon moteur.,B1
241,"J'étais très soucieux car ma panne commençait de m'apparaître comme très grave, et l'eau à boire qui s'épuisait me faisait craindre le pire.",B2
242,"- Les épines, à quoi servent-elles ?",A2
243,"Le petit prince ne renonçait jamais à une question, une fois qu'il l'avait posée.",A2
244,"J'étais irrité par mon boulon et je répondis n'importe quoi :

- Les épines, ça ne sert à rien, c'est de la pure méchanceté de la part des fleurs

- Oh !",B1
245,"Mais après un silence il me lança, avec une sorte de rancune :

- Je ne te crois pas !",B1
246,Les fleurs sont faibles.,A2
247,Elles sont naïves.,B2
248,Elles se rassurent comme elles peuvent.,B2
249,"Elles se croient terribles avec leurs épines...

Je ne répondis rien.",B2
250,"À cet instant-là je me disais :""Si ce boulon résiste encore, je le ferai sauter d'un coup de marteau.",B1
251,"""Le petit prince dérangea de nouveau mes réflexions :

- Et tu crois, toi, que les fleurs...

- Mais non !",B1
252,Mais non !,A2
253,Je ne crois rien !,A1
254,J'ai répondu n'importe quoi.,A2
255,"Je m'occupe, moi, de choses sérieuses !",A2
256,Il me regarda stupéfait.,B2
257,"- De choses sérieuses

Il me voyait, mon marteau à la main, et les doigts noirs de cambouis, penché sur un objet qui lui semblait très laid.",B2
258,- Tu parles comme les grandes personnes !,A2
259,Ça me fit un peu honte.,A2
260,"Mais, impitoyable, il ajouta

- Tu confonds tout... tu mélanges tout !",C1
261,Il était vraiment très irrité.,A2
262,"Il secouait au vent des cheveux tout dorés :

- Je connais une planète où il y a un Monsieur cramoisi.",B2
263,Il n'a jamais respiré une fleur.,A2
264,Il n'a jamais regardé une étoile.,A2
265,Il n'a jamais aimé personne.,A2
266,Il n'a jamais rien fait d'autre que des additions.,B1
267,"Et toute la journée il répète comme toi :""Je suis un homme sérieux !",A2
268,Je suis un homme sérieux !,A1
269,"""et ça le fait gonfler d'orgueil.",B1
270,"Mais ce n'est pas un homme, c'est un champignon!",A2
271,- Un quoi ?,A2
272,"- Un champignon

Le petit prince était maintenant tout pâle de colère.",A2
273,- Il y a des millions d'années que les fleurs fabriquent des épines.,B1
274,Il y a des millions d'années que les moutons mangent quand même les fleurs.,A2
275,Et ce n'est pas sérieux de chercher à comprendre pourquoi elles se donnent tant de mal pour se fabriquer des épines qui ne servent jamais à rien ?,B1
276,Ce n'est pas important la guerre des moutons et des fleurs ?,A2
277,Ce n'est pas plus sérieux et plus important que les additions d'un gros Monsieur rouge ?,A2
278,"Et si je connais, moi, une fleur unique au monde, qui n'existe nulle part, sauf dans ma planète, et qu'un petit mouton peut anéantir d'un seul coup, comme ça, un matin, sans se rendre compte de ce qu'il fait, ce n'est pas important ça

Il rougit, puis reprit :

- Si quelqu'un aime une fleur qui n'existe qu'à un exemplaire dans les millions et les millions d'étoiles, ça suffit pour qu'il soit heureux quand il les regarde.",A2
279,"Il se dit:""Ma fleur est là quelque part...""Mais si le mouton mange la fleur, c'est pour lui comme si, brusquement, toutes les étoiles s'éteignaient !",B1
280,Et ce n'est pas important ça !,A2
281,Il ne put rien dire de plus.,A2
282,Il éclata brusquement en sanglots.,C1
283,La nuit était tombée.,A2
284,J'avais lâché mes outils.,B1
285,"Je me moquais bien de mon marteau, de mon boulon, de la soif et de la mort.",B1
286,"Il y avait, sur une étoile, une planète, la mienne, la Terre, un petit prince à consoler !",A2
287,Je le pris dans les bras.,A2
288,Je le berçai.,B1
289,"Je lui disais :""La fleur que tu aimes n'est pas en danger... Je lui dessinerai une muselière, à ton mouton... Je te dessinerai une armure pour ta fleur... Je...""Je ne savais pas trop quoi dire.",A2
290,Je me sentais très maladroit.,A2
291,"Je ne savais comment l'atteindre, où le rejoindre... C'est tellement mystérieux, le pays des larmes.",B1
292,"Il y 'avait toujours eu, sur la planète du petit prince, des fleurs très simples, ornées d'un seul rang de pétales, et qui ne tenaient point de place, et qui ne dérangeaient personne.",B1
293,"Elles apparaissaient un matin dans l'herbe, et puis elles s'éteignaient le soir.",B1
294,"Mais celle-là avait germé un jour, d'une graine apportée d'on ne sait où, et le petit prince avait surveillé de très près cette brindille qui ne ressemblait pas aux autres brindilles.",B1
295,Ça pouvait être un nouveau genre de baobab.,A2
296,"Mais l'arbuste cessa vite de croître, et commença de préparer une fleur.",B2
297,"Le petit prince, qui assistait à l'installation d'un bouton énorme, sentait bien qu'il en sortirait une apparition miraculeuse, mais la fleur n'en finissait pas de se préparer à être belle, à l'abri de sa chambre verte.",B1
298,Elle choisissait avec soin ses couleurs.,B1
299,"Elle s'habillait lentement, elle ajustait un à un ses pétales.",B2
300,Elle ne voulait pas sortir toute fripée comme les coquelicots.,B1
301,Elle ne voulait apparaître que dans le plein rayonnement de sa beauté.,B1
302,Eh !,A1
303,oui.,A1
304,Elle était très coquette !,A2
305,Sa toilette mystérieuse avait donc duré des jours et des jours.,B2
306,"Et puis voici qu'un matin, justement à l'heure du lever du soleil, elle s'était montrée.",A2
307,"Et elle, qui avait travaillé avec tant de précision, dit en bâillant :

- Ah !",B2
308,Je me réveille à peine... Je vous demande pardon... Je suis encore toute décoiffée...,A2
309,"Le petit prince, alors, ne put contenir son admiration

- Que vous êtes belle !",B1
310,"- N'est-ce pas, répondit doucement la fleur.",B1
311,Et je suis née en même temps que le soleil...,A2
312,"Le petit prince devina bien qu'elle n'était pas trop modeste, mais elle était si émouvante !",B1
313,"- C'est l'heure, je crois, du petit déjeuner, avait elle bientôt ajouté, auriez vous la bonté de penser à moi...",B1
314,"Et le petit prince, tout confus, ayant été chercher un arrosoir d'eau fraîche, avait servi la fleur.",B1
315,Ainsi l'avait-elle bien vite tourmenté par sa vanité un peu ombrageuse.,C2
316,"Un jour, par exemple, parlant de ses quatre épines, elle avait dit au petit prince

Ils peuvent venir, les tigres, avec leurs griffes

Il n'y a pas de tigres sur ma planète, avait objecté le petit prince, et puis les tigres ne mangent pas l'herbe.",A2
317,"- Je ne suis pas une herbe, avait doucement répondu la fleur.",B1
318,"- Pardonnez-moi...

- Je ne crains rien des tigres, mais j'ai horreur des courants d'air.",A2
319,Vous n'auriez pas un paravent ?,A2
320,"""Horreur des courants d'air... ce n'est pas de chance, pour une plante, avait remarqué le petit prince.",B1
321,"Cette fleur est bien compliquée...""

- Le soir vous me mettrez sous globe.",B1
322,Il fait très froid chez vous.,A2
323,C'est mal installé.,A2
324,"Là d'où je viens...

Mais elle s'était interrompue.",B1
325,"Elle était venue sous forme de graine, elle n'avait rien pu connaître des autres mondes.",B1
326,"Humiliée de s'être laissé surprendre à préparer un mensonge aussi naïf, elle avait toussé deux ou trois fois, pour mettre le petit prince dans son tort

- Ce paravent ?...",C1
327,- J'allais le chercher mais vous me parliez !,A2
328,Alors elle avait forcé sa toux pour lui infliger quand même des remords.,B2
329,"Ainsi le petit prince, malgré la bonne volonté de son amour, avait vite douté d'elle.",B1
330,"Il avait pris au sérieux des mots sans importance, et était devenu très malheureux.",B1
331,"""J'aurais dû ne pas l'écouter, me confia-t-il un jour, il ne faut jamais écouter les fleurs.",A2
332,Il faut les regarder et les respirer.,A2
333,"La mienne embaumait ma planète, mais je ne savais pas m'en réjouir.",B1
334,"Cette histoire de griffes, qui m'avait tellement agacé, eût dû m'attendrir...""

Il me confia encore :

""Je n'ai alors rien su comprendre J'aurais dû la juger sur les actes et non sur les mots.",B2
335,Elle m'embaumait et m'éclairait.,B1
336,Je n'aurais jamais dû m'enfuir !,A2
337,J'aurais dû deviner sa tendresse derrière ses pauvres ruses.,C1
338,Les fleurs sont si contradictoires !,B1
339,"Mais j'étais trop jeune pour savoir l'aimer.""",A2
340,Au matin du départ il mit sa planète bien en ordre.,B1
341,Il ramona soigneusement ses volcans en activité.,C1
342,Il possédait deux volcans en activité.,B2
343,Et c'était bien commode pour faire chauffer le petit déjeuner du matin.,A2
344,Il possédait aussi un volcan éteint.,B2
345,"Mais, comme il disait :""On ne sait jamais !",A2
346,"""Il ramona donc également le volcan éteint.",C1
347,"S'ils sont bien ramonés, les volcans brûlent doucement et régulièrement, sans éruptions.",C1
348,Les éruptions volcaniques sont comme des feux de cheminée.,B2
349,Évidemment sur notre terre nous sommes beaucoup trop petits pour ramoner nos volcans.,B2
350,C'est pourquoi ils nous causent des tas d'ennuis.,A2
351,"Le petit prince arracha aussi, avec un peu de mélancolie, les dernières pousses de baobabs.",B2
352,Il croyait ne jamais devoir revenir.,A2
353,"Mais tous ces travaux familiers lui parurent, ce matin-là, extrêmement doux.",C1
354,"Et, quand il arrosa une dernière fois la fleur, et se prépara à la mettre à l'abri sous son globe, il se découvrit l'envie de pleurer.",B2
355,"- Adieu, dit-il à la fleur.",A2
356,Mais elle ne lui répondit pas.,A2
357,"- Adieu, répéta-t-il.",B2
358,La fleur toussa.,A2
359,Mais ce n'était pas à cause de son rhume.,A2
360,"J'ai été sotte, lui dit-elle enfin.",B1
361,Je te demande pardon.,A2
362,Tâche d'être heureux.,A2
363,Il fut surpris par l'absence de reproches.,B2
364,"Il restait là tout déconcerté, le globe en l'air.",B2
365,Il ne comprenait pas cette douceur calme.,A2
366,"- Mais oui, je t'aime, lui dit la fleur.",A2
367,"Tu n'en as rien su, par ma faute.",A2
368,Cela n'a aucune importance.,A1
369,Mais tu as été aussi sot que moi.,B1
370,Tâche d'être heureux... Laisse ce globe tranquille.,A2
371,Je n'en veux plus.,A1
372,"- Mais le vent...

- je ne suis pas si enrhumée que ça... L'air frais de la nuit me fera du bien.",A2
